baseline_date,datetime,id,get_enodeb_name,element_id,mo,parameter,baseline,configured,mml,golden,status
2017-11-23,2017-11-22 21:51:10,enodeb_baseline,EPEARR03,9,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,OFF," MOD CELLALGOSWITCH:LocalCELLID=9,INTERFRANDSWITCH=ENB_BASED;{S01PEARR03}",t,NOK
2017-11-23,2017-11-22 21:51:10,enodeb_baseline,EPEARR03,10,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,OFF," MOD CELLALGOSWITCH:LocalCELLID=10,INTERFRANDSWITCH=ENB_BASED;{S01PEARR03}",t,NOK
2017-11-23,2017-11-22 21:10:52,enodeb_baseline,EROPVO40,10,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,OFF," MOD CELLALGOSWITCH:LocalCELLID=10,INTERFRANDSWITCH=ENB_BASED;{S01ROPVO40}",t,NOK
2017-11-23,2017-11-22 21:10:52,enodeb_baseline,EROPVO40,9,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,OFF," MOD CELLALGOSWITCH:LocalCELLID=9,INTERFRANDSWITCH=ENB_BASED;{S01ROPVO40}",t,NOK
2017-11-23,2017-11-22 21:10:52,enodeb_baseline,EROPVO40,8,CELLALGOSWITCH,INTERFRANDSWITCH,ENB_BASED,OFF," MOD CELLALGOSWITCH:LocalCELLID=8,INTERFRANDSWITCH=ENB_BASED;{S01ROPVO40}",t,NOK
2017-11-23,2017-11-22 21:08:50,enodeb_baseline,EBAFSA35,4,CELLALGOSWITCH,IRCSWITCH,PUCCHIRCSWITCH-1,PRACHIRCSWITCH-0&PUCCHIRCSWITCH-0," MOD CELLALGOSWITCH:LOCALCELLID=4,IRCSWITCH=PucchIrcSwitch-1;{S01BAFSA35}",f,NOK
2017-11-23,2017-11-22 21:08:50,enodeb_baseline,EBAFSA35,5,CELLALGOSWITCH,IRCSWITCH,PUCCHIRCSWITCH-1,PRACHIRCSWITCH-0&PUCCHIRCSWITCH-0," MOD CELLALGOSWITCH:LOCALCELLID=5,IRCSWITCH=PucchIrcSwitch-1;{S01BAFSA35}",f,NOK
2017-11-23,2017-11-22 21:08:50,enodeb_baseline,EBAFSA35,6,CELLALGOSWITCH,IRCSWITCH,PUCCHIRCSWITCH-1,PRACHIRCSWITCH-0&PUCCHIRCSWITCH-0," MOD CELLALGOSWITCH:LOCALCELLID=6,IRCSWITCH=PucchIrcSwitch-1;{S01BAFSA35}",f,NOK
2017-11-23,2017-11-22 21:08:50,enodeb_baseline,EBAFSA35,4,CELLALGOSWITCH,ULSCHSWITCH,ULENHANCEDSRSCHSWITCH-1,IMICSWITCH-0&MBRULSCHSWITCH-0&PRACHRBREUSESWITCH-0&PREALLOCATIONSWITCH-1&PUSCHDTXSCHOPTSWITCH-0&PUSCHDTXSWITCH-1&PUSCHUSEPUCCHRBSWITCH-0&SCHEDULERCTRLPOWERSWITCH-0&SINRADJUSTSWITCH-1&SMARTPREALLOCATIONSWITCH-0&SPSSCHSWITCH-0&SRSCHDATAADPTSW-1&TTIBUNDLINGSWITCH-0&UEAMBRULSCHSWITCH-0&ULENHANCEDDOPPLERSWITCH-0&ULENHANCEDFSSSWITCH-1&ULENHANCEDSRSCHSWITCH-0&ULFSSALGOSWITCH-1&ULFSSUSERTHDSTSWITCH-0&ULIBLERADJUSTSWITCH-0&ULIICSALGOSWITCH-0&ULINTERFFSSSWITCH-0&ULLAST2RETRANSSCHOPTSWITCH-0&ULMBRCTRLSWITCH-0&ULMINGBRSWITCH-0&ULRAUSERSCHOPTSW-0&ULSMALLRBSPECTRALEFFOPTSW-0&ULVMIMOSWITCH-0," MOD CELLALGOSWITCH:LocalCELLID=4,ULSCHSWITCH=UlEnhancedSrSchSwitch-1;{S01BAFSA35}",f,NOK
2017-11-23,2017-11-22 21:08:50,enodeb_baseline,EBAFSA35,5,CELLALGOSWITCH,ULSCHSWITCH,ULENHANCEDSRSCHSWITCH-1,IMICSWITCH-0&MBRULSCHSWITCH-0&PRACHRBREUSESWITCH-0&PREALLOCATIONSWITCH-1&PUSCHDTXSCHOPTSWITCH-0&PUSCHDTXSWITCH-1&PUSCHUSEPUCCHRBSWITCH-0&SCHEDULERCTRLPOWERSWITCH-0&SINRADJUSTSWITCH-1&SMARTPREALLOCATIONSWITCH-0&SPSSCHSWITCH-0&SRSCHDATAADPTSW-1&TTIBUNDLINGSWITCH-0&UEAMBRULSCHSWITCH-0&ULENHANCEDDOPPLERSWITCH-0&ULENHANCEDFSSSWITCH-1&ULENHANCEDSRSCHSWITCH-0&ULFSSALGOSWITCH-1&ULFSSUSERTHDSTSWITCH-0&ULIBLERADJUSTSWITCH-0&ULIICSALGOSWITCH-0&ULINTERFFSSSWITCH-0&ULLAST2RETRANSSCHOPTSWITCH-0&ULMBRCTRLSWITCH-0&ULMINGBRSWITCH-0&ULRAUSERSCHOPTSW-0&ULSMALLRBSPECTRALEFFOPTSW-0&ULVMIMOSWITCH-0," MOD CELLALGOSWITCH:LocalCELLID=5,ULSCHSWITCH=UlEnhancedSrSchSwitch-1;{S01BAFSA35}",f,NOK
