year,week,region,rnc,nodeb,cnbap_capacity,vs_rrc_rej_rl_fail,cnbap_utilization,dlce_capacity,dlce_utilization,vs_rrc_rej_dlce_cong,vs_rab_failestabcs_dlce_cong,vs_rab_failestabps_dlce_cong,ulce_capacity,ulce_utilization,vs_rrc_rej_ulce_cong,vs_rab_failestabcs_ulce_cong,vs_rab_failestabps_ulce_cong
2017,5,NE,RNCCE02,UCEPAC04,80,0,27.14,512,19.72,,,,384,70.65,,,
2017,5,CO,RNCDF04,UDFTAG55,170,0,50.9,1536,23.17,,,,1536,39.43,,,
2017,5,NE,RNCAL01,UALBNA01,170,0,17.46,1536,13.02,,,,1536,42.08,,,
2017,5,PRSC,RNCPR05,UPRFOZ06,900,0,0.62,2304,1.32,,,,1536,4.85,,,
2017,5,BASE,RNCBA05,UBALFS25,900,0,7.89,2304,10.71,,,,1536,44.46,,,
2017,5,NE,RNCPE04,NS01PEPQE02,,0,0,,,,,,,,,,
2017,5,CO,RNCMT02,UMTVAZ40,900,0,3.97,2304,7.96,,,,1536,39.53,,,
2017,5,BASE,RNCBA05,NS01BAPGR17,,0,0,,,,,,,,,,
2017,5,NE,RNCPI02,UPITER40,640,0,12.49,1920,19.07,,,,1920,57.15,,,
2017,5,CO,RNCMS03,UMSTLS09,580,825.5,27.89,1536,35.76,,,,1536,73.98,,,
2017,5,CO,RNCDF04,WDFSOB03,100,0,16.03,1024,6.31,,,,768,28.95,,,
2017,5,CO,RNCDF04,UDFTAG08,940,0,6.02,3072,5.16,,,,2560,16.29,,,
2017,5,PRSC,RNCSC01,USCFNS49,170,0,5.73,1536,2.7,,,,1536,9.23,,,
2017,5,CO,RNCMT02,UMTCBA55,940,0,2.96,3072,3.65,,,,2560,13.07,,,
2017,5,MG,RNCMG05,NS01MGVAR01,,0,0,,,,,,,,,,
2017,5,PRSC,RNCSC02,NS01SCBCU23,,0,0,,,,,,,,,,
2017,5,NE,RNCPE04,UPEBOV15,170,0,4.14,1536,2.28,,,,1536,4.97,,,
2017,5,BASE,RNCBA05,NS01BACAJ20,,0,0,,,,,,,,,,
2017,5,MG,RNCMG01,UMGBEL18,100,0,6.74,768,3.33,,,,576,12.38,,,
2017,5,NE,RNCPE04,UPEPOB02,170,0,10.73,1920,4.49,,,,1920,11.47,,,
