"week";"cellname";"REGIONAL";"count";"covered_sites"
12;"UPBCGE24B";"NE";2;"UPBCGE07,UPBCGEI1"
10;"UMGCTG37J";"MG";2;"UMGOUP07,UMGOUP09"
8;"UMGURA132";"MG";6;"UMGURA06,UMGURA11,UMGURA12,UMGURA18,UMGURA19,UMGURA25"
9;"URNLNV05F";"NE";1;"URNLNV14"
10;"UBACOM01B";"BASE";3;"UBACJA01,UBACJA02,UBACJA03"
8;"UPEGUS01B";"NE";1;"UPEGUS04"
8;"UESCIT133";"ES";1;"UESCIT08"
7;"UPRCBX09B";"PRSC";1;"UPRCBX03"
13;"UMGULA43K";"MG";1;"UMGULA45"
11;"UDFSQS49F";"CO";9;"UDFSQS0J,UDFSQS46,UDFSQS80,UDFSQS96,UDFSQS99,UDFSQSB2,UDFSQSI7,UDFSQSIC,UDFSQSIH"
7;"UALCLI28F";"NE";2;"UALCLI12,WALCLI12"
9;"UDFTAG28B";"CO";4;"UDFTAG38,UDFTAG42,UDFTAG44,UDFTAG73"
12;"UPILSR03C";"NE";3;"UPILSR01,UPILSR02,UPILSR04"
10;"UDFTAG33G";"CO";1;"UDFTAG74"
9;"UMGBET04K";"MG";1;"UMGBET02"
9;"UMGVSP04N";"MG";6;"UMGCONR2,UMGLGS02,UMGVSP01,UMGVSP02,UMGVSP07,UMGVSPR1"
7;"UACRBO07A";"CO";1;"UACRBO37"
8;"UMGARX061";"MG";2;"UMGARX09,UMGARX10"
9;"UDFTAG57N";"CO";3;"UDFTAG04,UDFTAG21,UDFTAG77"
9;"URNLNV01E";"NE";8;"URNPTR01,URNPTR03,URNPTR04,URNPTR05,URNPTR07,URNPTR13,URNPTR14,URNPTR15"
13;"UMGURAR51";"MG";1;"UMGURAR4"
11;"UALATL01B";"NE";1;"UALPLR01"
12;"UDFSQSX2O";"CO";1;"UDFSQSX4"
12;"UMSTLS07A";"CO";1;"UMSTLS06"
8;"UGOANS74K";"CO";1;"UGOANS31"
